model,method,retrieval_type,n_rows,mean_f1,median_f1,mean_precision,mean_recall,exact_match_rate
Qwen2.5_14B_Instruct,RAG,Spaces,18,0.5555555555555556,1.0,0.5555555555555556,0.6111111111111112,0.5555555555555556
Qwen2.5_14B_Instruct,RAG,Times,22,0.49242427272727274,0.5833335,0.5227272727272727,0.5833333181818182,0.4090909090909091
Qwen2.5_14B_Instruct,RAG,story_compare::intersection,51,1.0,1.0,1.0,1.0,1.0
Qwen2.5_14B_Instruct,RAG,story_composite::difference_then_sort,48,0.3333333333333333,0.0,0.3333333333333333,0.4583333333333333,0.3333333333333333
Qwen2.5_14B_Instruct,RAG,story_compute::sort_items,54,0.4537037037037037,0.0,0.4537037037037037,0.4722222222222222,0.4444444444444444
Qwen2.5_14B_Instruct,RAG,story_diff::set_difference,63,0.09259263492063492,0.0,0.1349206349206349,0.07936507936507936,0.0
Qwen2.5_14B_Instruct,RAG,story_edit::empty,17,1.0,1.0,1.0,1.0,1.0
Qwen2.5_14B_Instruct,RAG,story_edit::remove_one,49,0.39018465306122446,0.0,0.41836734693877553,0.5414965918367347,0.3469387755102041
Qwen2.5_14B_Instruct,RAG,story_state::latest_chapter,54,0.3611111111111111,0.0,0.35802468518518515,0.37037037037037035,0.35185185185185186
Qwen3_4B_Instruct,DP,Entities,12,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667
Qwen3_4B_Instruct,DP,Event contents,32,0.5,0.5,0.5,0.5,0.5
Qwen3_4B_Instruct,DP,Full event details,15,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667
Qwen3_4B_Instruct,DP,Other entities,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667
Qwen3_4B_Instruct,DP,Spaces,18,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444
Qwen3_4B_Instruct,DP,Times,22,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453
Qwen3_4B_Instruct,DP,story_compare::intersection,51,1.0,1.0,1.0,1.0,1.0
Qwen3_4B_Instruct,DP,story_composite::difference_then_sort,48,0.3958333333333333,0.0,0.3958333333333333,0.3958333333333333,0.3958333333333333
Qwen3_4B_Instruct,DP,story_compute::sort_items,54,0.35185185185185186,0.0,0.35185185185185186,0.35185185185185186,0.35185185185185186
Qwen3_4B_Instruct,DP,story_diff::set_difference,63,0.0,0.0,0.0,0.0,0.0
Qwen3_4B_Instruct,DP,story_edit::empty,17,1.0,1.0,1.0,1.0,1.0
Qwen3_4B_Instruct,DP,story_edit::remove_one,49,0.46938775510204084,0.0,0.46938775510204084,0.46938775510204084,0.46938775510204084
Qwen3_4B_Instruct,DP,story_state::latest_chapter,54,0.0,0.0,0.0,0.0,0.0
Qwen3_4B_Instruct,RAG,Entities,12,0.6944444166666667,1.0,0.75,0.6833333333333332,0.6666666666666666
Qwen3_4B_Instruct,RAG,Event contents,32,0.5375,1.0,0.5625,0.53472221875,0.53125
Qwen3_4B_Instruct,RAG,Full event details,15,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667
Qwen3_4B_Instruct,RAG,Other entities,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667
Qwen3_4B_Instruct,RAG,Spaces,18,0.6222222222222222,1.0,0.6666666666666666,0.6172839444444445,0.6111111111111112
Qwen3_4B_Instruct,RAG,Times,21,0.5317460476190476,0.666667,0.5476190476190477,0.5396825238095238,0.47619047619047616
Qwen3_4B_Instruct,RAG,story_compare::intersection,50,1.0,1.0,1.0,1.0,1.0
Qwen3_4B_Instruct,RAG,story_composite::difference_then_sort,48,0.3958333333333333,0.0,0.3958333333333333,0.3958333333333333,0.3958333333333333
Qwen3_4B_Instruct,RAG,story_compute::sort_items,53,0.42924528301886794,0.0,0.4339622641509434,0.5220125849056604,0.41509433962264153
Qwen3_4B_Instruct,RAG,story_diff::set_difference,63,0.04232806349206349,0.0,0.06349206349206349,0.047619047619047616,0.0
Qwen3_4B_Instruct,RAG,story_edit::empty,17,1.0,1.0,1.0,1.0,1.0
Qwen3_4B_Instruct,RAG,story_edit::remove_one,49,0.4217687142857143,0.0,0.42857142857142855,0.5612244897959183,0.40816326530612246
Qwen3_4B_Instruct,RAG,story_state::latest_chapter,54,0.2160493888888889,0.0,0.21296296296296297,0.2222222222222222,0.2037037037037037
